rank,record_id,extension_id,packet_path,priority_score,priority_reasons,blind_review,review_status
1,save-sora_2_0_196_to_2_0_355,github:alpha1337/save-sora,artifacts/driftbench/phase3h5/review_packets/save-sora_2_0_196_to_2_0_355.json,230,"[""RISKY_TRANSITION requires independent confirmation"", ""wildcard host expansion"", ""new sensitive browser API usage"", ""new external network destinations"", ""source-to-sink heuristic indicator"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
2,katex-github-chrome-extension_0_1_0_to_0_2_0,github:aaroncql/katex-github-chrome-extension,artifacts/driftbench/phase3h5/review_packets/katex-github-chrome-extension_0_1_0_to_0_2_0.json,220,"[""RISKY_TRANSITION requires independent confirmation"", ""wildcard host expansion"", ""new sensitive browser API usage"", ""new external network destinations"", ""new dynamic execution indicator"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
3,save-sora_3_0_0_to_3_0_10,github:alpha1337/save-sora,artifacts/driftbench/phase3h5/review_packets/save-sora_3_0_0_to_3_0_10.json,200,"[""UNCERTAIN label requires resolution attempt"", ""new sensitive browser API usage"", ""new external network destinations"", ""source-to-sink heuristic indicator"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
4,violentmonkey_2_45_0_to_2_46_0,github:violentmonkey/violentmonkey,artifacts/driftbench/phase3h5/review_packets/violentmonkey_2_45_0_to_2_46_0.json,180,"[""RISKY_TRANSITION requires independent confirmation"", ""new sensitive browser API usage"", ""new external network destinations"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
5,save-sora_2_0_355_to_3_0_0,github:alpha1337/save-sora,artifacts/driftbench/phase3h5/review_packets/save-sora_2_0_355_to_3_0_0.json,175,"[""UNCERTAIN label requires resolution attempt"", ""new sensitive browser API usage"", ""source-to-sink heuristic indicator"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
6,automaapp_automa_1_29_11_to_1_29_12,github:automaapp/automa,artifacts/driftbench/phase3h5/review_packets/automaapp_automa_1_29_11_to_1_29_12.json,130,"[""new sensitive browser API usage"", ""new external network destinations"", ""source-to-sink heuristic indicator"", ""new dynamic execution indicator"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
7,duckduckgo_privacy_2026_1_12_to_2026_4_28,github:duckduckgo/duckduckgo-privacy-extension,artifacts/driftbench/phase3h5/review_packets/duckduckgo_privacy_2026_1_12_to_2026_4_28.json,130,"[""new sensitive browser API usage"", ""new external network destinations"", ""source-to-sink heuristic indicator"", ""new dynamic execution indicator"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
8,refined_github_26_6_7_to_26_7,github:refined-github/refined-github,artifacts/driftbench/phase3h5/review_packets/refined_github_26_6_7_to_26_7.json,115,"[""new critical browser API"", ""new sensitive browser API usage"", ""new external network destinations"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
9,automaapp_automa_1_29_10_to_1_29_11,github:automaapp/automa,artifacts/driftbench/phase3h5/review_packets/automaapp_automa_1_29_10_to_1_29_11.json,105,"[""new external network destinations"", ""source-to-sink heuristic indicator"", ""new dynamic execution indicator"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
10,automaapp_automa_1_29_8_to_1_29_9,github:automaapp/automa,artifacts/driftbench/phase3h5/review_packets/automaapp_automa_1_29_8_to_1_29_9.json,105,"[""new external network destinations"", ""source-to-sink heuristic indicator"", ""new dynamic execution indicator"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
11,automaapp_automa_1_29_9_to_1_29_10,github:automaapp/automa,artifacts/driftbench/phase3h5/review_packets/automaapp_automa_1_29_9_to_1_29_10.json,105,"[""new external network destinations"", ""source-to-sink heuristic indicator"", ""new dynamic execution indicator"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
12,bitwarden_clients_browser_v2026_6_1_to_browser_v2026_7_0,github:bitwarden/clients-browser,artifacts/driftbench/phase3h5/review_packets/bitwarden_clients_browser_v2026_6_1_to_browser_v2026_7_0.json,105,"[""new external network destinations"", ""source-to-sink heuristic indicator"", ""new dynamic execution indicator"", ""substantial obfuscation change""]",True,SECOND_REVIEW_PENDING
