"Priority","ReviewID","RecordID","ExistingLabel","SecondaryLabel","Confidence","Adjudication","FinalDecision","EvidenceSummary","Notes"
"1","RB-003","automaapp_automa_1_29_11_to_1_29_12","BENIGN_TRANSITION","RISKY_TRANSITION","MEDIUM","ADJUDICATED","RISKY_TRANSITION","Substantial behavioural drift: sensitive API additions, large network change, dynamic-execution indicators, source-to-sink heuristics, increased obfuscation, and broad structural modification. No malicious intent is established, but the update clearly warrants security review.","Simulated adjudication; not human ground truth."
"1","RB-004","duckduckgo_privacy_2026_1_12_to_2026_4_28","BENIGN_TRANSITION","RISKY_TRANSITION","MEDIUM","ADJUDICATED","RISKY_TRANSITION","No permission or host-scope expansion occurred, but the update adds a sensitive API and contains multiple dynamic-execution and source-to-sink indicators together with substantial code and network churn. These signals justify review without implying maliciousness.","Simulated adjudication; not human ground truth."
"1","RB-005","refined_github_26_6_7_to_26_7","BENIGN_TRANSITION","RISKY_TRANSITION","MEDIUM","ADJUDICATED","RISKY_TRANSITION","Two sensitive API additions were observed, including one classified as critical. Although permission and host scope did not expand and no exfiltration heuristic was detected, the newly introduced API capability is sufficient to warrant security review.","Simulated adjudication; not human ground truth."
"1","RB-006","bitwarden_clients_browser_v2026_6_1_to_browser_v2026_7_0","BENIGN_TRANSITION","RISKY_TRANSITION","MEDIUM","ADJUDICATED","RISKY_TRANSITION","The transition introduces hardcoded-IP indicators, dynamic-execution indicators, source-to-sink heuristics, and substantial network and structural churn. These are review-worthy security changes despite the absence of new permissions or host scope.","Simulated adjudication; not human ground truth."
"1","RB-012","web_scrobbler_web_scrobbler_3_21_0_to_3_22_0","BENIGN_TRANSITION","RISKY_TRANSITION","MEDIUM","ADJUDICATED","RISKY_TRANSITION","The transition introduces sensitive API usage, a plain-HTTP endpoint indicator, multiple dynamic-execution indicators, substantial network changes, and extensive structural modification. These changes warrant security review even though no malicious intent is established.","Simulated adjudication; not human ground truth."
"1","RB-014","save_tabbed_images_0_4_0_to_0_4_1","BENIGN_TRANSITION","RISKY_TRANSITION","MEDIUM","ADJUDICATED","UNCERTAIN","A substantial increase in network indicators was observed together with limited dynamic-execution and structural changes. However, there was no permission, host-scope, sensitive-API, or source-to-sink expansion, and the packet does not identify the network destinations sufficiently to determine their security significance.","Network-count magnitude alone is insufficient for a risky final label."
"2","RB-007","browserpass_browserpass_extension_3_10_2_to_3_11_0","BENIGN_TRANSITION","RISKY_TRANSITION","LOW","ADJUDICATED","BENIGN_TRANSITION","No new permissions, hosts, or sensitive APIs were introduced and overall network destinations decreased. The remaining dynamic-execution and source-to-sink signals are limited heuristic indicators and do not provide sufficient evidence of meaningful security capability expansion.","Existing benign label retained after simulated adjudication."
"2","RB-008","keepassxc_browser_1_10_1_to_1_10_2","BENIGN_TRANSITION","UNCERTAIN","LOW","ADJUDICATED","BENIGN_TRANSITION","No permission, host-scope, or sensitive-API expansion occurred. Only one external-network indicator, one dynamic-execution indicator, and one source-to-sink heuristic were observed, which are insufficient by themselves to justify a risky classification.","Existing benign label retained after simulated adjudication."
"2","RB-009","openstyles_stylus_2_4_6_to_2_4_7","BENIGN_TRANSITION","RISKY_TRANSITION","LOW","ADJUDICATED","BENIGN_TRANSITION","No new permissions, host access, or sensitive APIs were introduced and network destinations decreased. Two dynamic-execution and two source-to-sink heuristic indicators are insufficient without stronger evidence of meaningful security capability expansion.","Existing benign label retained after simulated adjudication."
"2","RB-010","subtidex_1_5_0_to_1_5_1","BENIGN_TRANSITION","RISKY_TRANSITION","LOW","ADJUDICATED","UNCERTAIN","The update contains new external-network indicators, one dynamic-execution indicator, and source-to-sink heuristics, but no permission, host-scope, or API expansion. Available evidence is insufficient to determine whether these changes are normal functionality or meaningful security-sensitive drift.","Additional release or source-code context would be required."
"2","RB-011","ublock_origin_1_72_2_to_1_73_0","BENIGN_TRANSITION","RISKY_TRANSITION","LOW","ADJUDICATED","BENIGN_TRANSITION","No new permissions, hosts, or sensitive APIs were introduced and overall network destinations decreased. The small number of network, dynamic-execution, and heuristic indicators does not provide strong evidence of new security-sensitive capability.","Existing benign label retained after simulated adjudication."
"2","RB-013","darkreader_darkreader_4_9_125_to_4_9_126","BENIGN_TRANSITION","RISKY_TRANSITION","LOW","ADJUDICATED","UNCERTAIN","The network destination count increased and source-to-sink heuristics were observed, but there were no permission, host-scope, sensitive-API, or dynamic-execution additions. The available evidence does not establish whether the network changes are security-sensitive or routine.","Additional functional context required."
"2","RB-015","clearurls_addon_1_20_0_to_1_21_0","BENIGN_TRANSITION","UNCERTAIN","LOW","EXTERNAL_HOLDOUT_LOCKED","","Confirmed external holdout record. The transition must remain untouched for
final external validation and must not be used for tuning, adjudication-driven
label changes, Gold Set construction, or model/rule development.","Confirmed in phase3h/external_holdout_manifest.json. Preserve untouched."
